SI,SS,XI,XS,XBH,XBA,XP,SO,SNO,SNH,SND,XND,SALK
23.2261230950039,176.458105186951,49.0366198410473,685.243172742446,121.127436844843,0.212887294825415,0.00819459005211772,0.000471785800164257,25.2621982706794,4.29033019074738,5.47856050707849,2.57134232899222,36.4735645124863
23.8026528456701,180.69213610829,50.3481927269059,701.724175922633,124.030203320102,0.211257004224871,0.00778958038014934,0.00044131775630455,25.9103090962518,4.38112390295507,5.61605782956268,2.57807919853668,37.3400265244202
24.4078388055844,185.65068659897,51.7198675117791,721.026288980628,127.425386199588,0.210338082570632,0.00736648438512765,0.000411494677738799,26.5922210397726,4.47455627900736,5.76050261093234,2.59411344069648,38.3564151878983
25.0321498249006,191.304047573463,53.1297281816121,743.034253779513,131.293803824342,0.210066152645869,0.0069294118165503,0.000382268067470732,27.2984619246085,4.56787360579478,5.90971053347334,2.61894617705813,39.5166047430668
26.0589234782842,201.654708996512,55.4392279877507,783.33084658949,138.374219284183,0.210703987073653,0.00622023651989427,0.000336818342547261,28.4666698220696,4.71414734278377,6.15558301430047,2.67432734911252,41.6429505489725
27.1022986979764,213.72596001715,57.7736623208368,830.330012595322,146.630353685105,0.212745498937862,0.0055178478426467,0.000293968836280547,29.6644458424091,4.85142041573303,6.40619352785438,2.7506498987116,44.125436312294
28.1497944701402,227.665704238176,60.1044815850095,884.609763553461,156.164355107353,0.216208506028555,0.0048363264261148,0.000254124433525615,30.8800641853189,4.97541737736429,6.65873011052758,2.84936713707884,46.9947708650046
29.1900529553079,243.604557572665,62.4063592955291,946.681838596229,167.065353299428,0.221097485896704,0.00419443738689889,0.000217567920547883,32.1025237793347,5.08261399534799,6.91061024926672,2.9718133376382,50.2781704672212
29.8409409088949,254.787284893059,63.8399999477455,990.236903622054,174.712930984067,0.224933760819552,0.00381146489345792,0.000196193855695,32.8761810859058,5.1405575359771,7.06883728749339,3.06220849613272,52.583121956883
30.2988288716418,263.984532695135,64.8380985061939,1026.06570380929,181.005864140086,0.228128170634373,0.00352598436489737,0.000180499027785816,33.4333433834199,5.16785236749339,7.18106923038778,3.13842290318678,54.4797718799167
30.7615285634825,273.811814538836,65.8453925000616,1064.35208440777,187.72751109137,0.231733975946096,0.00325142473926519,0.000165524546569125,33.9985414986673,5.19318070741829,7.29463627856133,3.22199145780125,56.5070104707592
31.2234727053126,284.264188313665,66.8492576791112,1105.07820120083,194.873953929903,0.235732891492575,0.0030019136040528,0.000151616777761992,34.5663091660868,5.21487716671092,7.40826726916658,3.31294421249594,58.663934541309
31.756881409378,297.106534038951,68.0061925646727,1155.12220318476,203.65101224906,0.240795651202292,0.00272583496079633,0.000136522871308967,35.2264042550463,5.23531702776993,7.53979817342811,3.42680647397421,61.3148826285246
32.2805916713545,310.728719124738,69.1392141974055,1208.21298990595,212.956109545375,0.246319114076522,0.0024712918630246,0.000122681256283361,35.8806417240437,5.24908502151519,7.66937638567138,3.55000725685196,64.1278572903092
32.7908312459769,325.180049547174,70.2399224534569,1264.54496710712,222.82115104366,0.252319597721409,0.00223639252733134,0.000110075886633833,36.5252397556777,5.25513902161819,7.79613504386699,3.68322317640746,67.1132386326925
33.2847468071908,340.488025270165,71.3021282439175,1324.22759609555,233.262924354226,0.258801423564237,0.00202162306911837,9.86333347909601e-05,37.1571286903568,5.25290884851913,7.91940352291111,3.82689347564677,70.2768962081747
34.7144752504842,395.006843127002,74.3553963351335,1536.89714534929,270.362569991755,0.282526701389582,0.00145808577007109,6.91593351891921e-05,39.0433129818417,5.18823637493023,8.28030250096433,4.35749763313679,81.5556070198022
35.2367054858222,419.950651039625,75.4602886707649,1634.24771304904,287.297502088205,0.293618222231162,0.00127251544306357,5.97272191030424e-05,39.7596546781757,5.13667571016771,8.41408228832495,4.60803012039853,86.7207864826783
35.4610824900714,437.07024679029,75.9075983992586,1701.10610763521,298.896664972531,0.300965339004,0.00116594628425206,5.4012381975455e-05,40.1138103802897,5.06668477061846,8.47487383754729,4.78369411966109,90.2696350315289
35.6908815545971,455.141437242901,76.3690704707709,1771.69605737659,311.123976982036,0.308820913053863,0.00106215935413702,4.88990251425321e-05,40.4723682733373,4.99933750887521,8.53683750427717,4.97143433538873,94.0172026769372
35.9146004362772,474.00657940485,76.8183266200777,1845.40676370381,323.869480400128,0.317076378575878,0.000971882060641304,4.43394230634759e-05,40.8236895467574,4.93152219530225,8.59732240293575,5.16989490063235,97.931198203175
36.1810559182887,499.463211442708,77.3497528330715,1944.90923775836,341.033425525917,0.328253491081633,0.000865468437968862,3.90974482061986e-05,41.2523143694892,4.8403680715943,8.67008955569628,5.44196234371502,103.216075657336
36.4162758950305,525.89358162006,77.8124809450751,2048.26093545743,358.814054861815,0.339861173884799,0.000772519427252423,3.45338601840603e-05,41.6458844051268,4.74436955953249,8.73541158721663,5.72906796862624,108.706907170467
36.6149881094494,553.167534512545,78.1945014876045,2154.95934164158,377.118045835326,0.351814830927695,0.000691251320476821,3.05821290008756e-05,41.9978939252551,4.64327564427969,8.79198978648335,6.03024898118442,114.377172009536
36.9300466796472,618.467151352776,78.7565281675902,2410.61115497771,420.76482670722,0.380202138311877,0.000542685972680794,2.3422820460192e-05,42.6436105053553,4.39307250646696,8.88795217599189,6.76995089016469,127.969580875257
37.0140783552825,664.675208419362,78.8478640331117,2591.69805920844,451.486420177558,0.400024770285611,0.000465480495631885,1.97748441595937e-05,42.9296918684623,4.20937816946365,8.92167983044757,7.31026576998496,137.603338235495
