SI,SS,XI,XS,XBH,XBA,XP,SO,SNO,SNH,SND,XND,SALK
22.0399976493352,42.7343822681855,170.346831875606,659.623518958521,120.307397793391,0.218908294985261,2.63858889246615,0.27490811168059,0.00214404523293582,24.0179206981111,3.81705547974379,35.1472210493277,5.20193034142897,1017.90962573249
22.6490159843515,44.0691341329462,173.872924497212,673.335050992804,122.773882913391,0.216421047248858,2.63562521417912,0.268778231858302,0.00204706669294258,24.7051439045427,3.90770633845345,35.8664880814016,5.34736554078406,1039.55205478213
23.2552983350947,45.3863776953301,177.873114559167,688.891599424298,125.566943355924,0.214451305849919,2.63939024248212,0.262225908721046,0.00195190213926004,25.3937659199716,3.99283290613685,36.6839655367878,5.49246771884056,1063.82717491815
23.8668242970521,46.7046625237978,182.432532689388,706.624544531643,128.744418830962,0.213054622017724,2.65078225501167,0.255194620443154,0.00185834374434423,26.0925145736067,4.07395421318382,37.6172301967129,5.63912260282649,1091.23681974987
24.8668152149725,48.8435225363472,190.87953065432,739.480900403896,134.620050139732,0.211861432448431,2.68369339715537,0.243043049406569,0.00171085833514114,27.2429546403971,4.19785633067418,39.3488005397482,5.87949646747785,1141.58637377887
25.886305662025,51.0026141083802,200.907895790771,778.494000247621,141.581349493831,0.212095578260415,2.7370114906111,0.229867015400486,0.00156775873984373,28.4274629612898,4.31135300850118,41.4077416560429,6.12538810537729,1200.8212723715
26.9205384622028,53.1719661862968,212.686907342671,824.325446349537,149.743527174903,0.213794396029793,2.8123752872401,0.215819634285382,0.00142922303221146,29.6430103022607,4.41142519933358,43.8291763731753,6.37582859000836,1269.87455519888
27.9603961162606,55.333300227972,226.34286308036,877.470887882811,159.190935673929,0.216951325456572,2.91094526940333,0.201201268677005,0.00129565373557591,30.881466560433,4.49465536324097,46.6394337068141,6.62879486943762,1349.42627957619
28.6179143595719,56.6902207943961,236.011874676678,915.107043610821,165.871647320966,0.219700054579615,2.98583939463223,0.191779872281644,0.00121391218304025,31.673989464972,4.53732298001172,48.6307039002905,6.78942261102929,1405.50424021164
29.1230475450151,57.7228647202591,244.340674059384,947.533028591965,171.621280089577,0.22231994363326,3.0533813557828,0.184267831212509,0.00115104931693982,32.2920061151212,4.5604049888003,50.3470356795127,6.91347840681845,1453.61659630562
29.6149882582641,58.72265480597,253.102270489455,981.649003295851,177.665475272192,0.225221172324598,3.12632907649754,0.176825898369617,0.00109010029950492,32.9000511280567,4.57639751402966,52.1532861962645,7.03473488267802,1504.10594237055
30.0974700119522,59.6989156118992,262.361356879347,1017.70801978086,184.046965378031,0.228442297641226,3.2054036161774,0.169537230758073,0.00103118692096781,33.502087696398,4.58616680358389,54.0628942579671,7.15406572120682,1557.34657357591
30.6514567477813,60.8163219440128,273.710260899831,1061.91276349201,191.861423846105,0.232549644844652,3.30439974553289,0.161250107785183,0.000965020606630125,34.1991407627635,4.59139945439824,56.4043915794189,7.29149537767378,1622.48917632012
31.1959305710396,61.9110889630635,285.763289839186,1108.86937283817,200.150760849464,0.23709386412835,3.41201407507955,0.153186677233456,0.000902189147893266,34.8912877344439,4.58929206755971,58.8922695652464,7.42706950843265,1691.53955100013
31.729579474809,62.9808411089362,298.592095063263,1158.85912901029,208.961932598938,0.242108225869785,3.52914400129823,0.145352503780867,0.000842764374917719,35.5774827257972,4.57924223197324,61.5415088199425,7.56050585522971,1764.89482948341
32.2506582879924,64.022247117587,312.235340346494,1212.03482990026,218.319309212307,0.247604023736996,3.65631456187845,0.137770983630636,0.000786624992960837,36.2559082042141,4.56086590685607,64.3602673639122,7.69139853352177,1842.76630345026
33.7921722739996,67.0819424270975,361.265935055544,1403.25053217892,251.827884045749,0.268235170206422,4.13212441958416,0.11556073116971,0.000629405657137103,38.323086525449,4.44519354507023,74.5015121323953,8.08291818938718,2121.6188255711
34.3714904834714,68.2221456461765,383.894391859455,1491.54884525107,267.241675666407,0.278084427940007,4.35929979263234,0.107395805446524,0.000574022786264714,39.1281960116557,4.37296734443225,79.1865981441573,8.23207258918613,2249.91593312715
34.7211285131057,68.8962047214083,400.638612940681,1556.91909480979,278.61828218798,0.285375630260534,4.53097347312411,0.102407635178765,0.000538654900005276,39.6374094908901,4.30532513399237,82.6562935970962,8.32375691328147,2344.60967227635
35.0317657439829,69.4828554588392,417.770499443052,1623.82398666649,290.24067346349,0.292822730588561,4.70895264403459,0.097214912121147,0.000505871266996393,40.1046101285802,4.22978973868225,86.2082209595278,8.40627058056303,2441.35155615048
35.3136991466385,70.0084317431812,435.430917203116,1692.81551330001,302.19987791514,0.300509662737438,4.89483146978033,0.0925951183214315,0.000475688227777134,40.5403314801935,4.14917939323563,89.8717027458013,8.48199486931372,2540.9637804406
35.6413828935008,70.6103173061884,459.19862368602,1785.70288354331,318.258051576429,0.310882588824426,5.14902675306687,0.0869422052883865,0.000439815239712263,41.0620969875254,4.03967557231561,94.805353670267,8.57110284440484,2674.87116834734
35.934374341464,71.1401377251186,483.955236572314,1882.49635665697,334.943081909524,0.321708224227482,5.418115543796,0.0817466510399227,0.000407277655683154,41.5441797935512,3.92576812655279,99.9478615269203,8.6518881113387,2814.20901097341
36.1922563438998,71.5970118642265,509.655809547873,1983.0253116121,352.219713946592,0.332951935882103,5.70199543124058,0.0769639621248953,0.000377868400176055,41.9853455976975,3.80816045889687,105.290303458825,8.72419653193804,2958.72505068181
36.6590937600678,72.3823204525004,571.989211385203,2227.02289487298,393.946993228582,0.360122513262773,6.40754861545424,0.0674136673064807,0.000320602954633263,42.8504589169241,3.5265735519368,118.262809227375,8.85984366403446,3308.76818482805
